model,metric,group,name,value
Model-1000,ai2arc/accuracy/ARC-Challenge,ai2arc,accuracy/ARC-Challenge,0.19742489270386265
Model-1000,ai2arc/accuracy/ARC-Easy,ai2arc,accuracy/ARC-Easy,0.2608879492600423
Model-1000,ai2arc/accuracy/group_average,ai2arc,accuracy/group_average,0.22915642098195246
Model-1000,ai2arc/accuracy/seq_average,ai2arc,accuracy/seq_average,0.23994334277620397
Model-1000,blimp/accuracy/adjunct_island,blimp,accuracy/adjunct_island,0.718
Model-1000,blimp/accuracy/anaphor_gender_agreement,blimp,accuracy/anaphor_gender_agreement,0.441
Model-1000,blimp/accuracy/anaphor_number_agreement,blimp,accuracy/anaphor_number_agreement,0.692
Model-1000,blimp/accuracy/animate_subject_passive,blimp,accuracy/animate_subject_passive,0.663
Model-1000,blimp/accuracy/animate_subject_trans,blimp,accuracy/animate_subject_trans,0.692
Model-1000,blimp/accuracy/causative,blimp,accuracy/causative,0.494
Model-1000,blimp/accuracy/complex_NP_island,blimp,accuracy/complex_NP_island,0.476
Model-1000,blimp/accuracy/coordinate_structure_constraint_complex_left_branch,blimp,accuracy/coordinate_structure_constraint_complex_left_branch,0.249
Model-1000,blimp/accuracy/coordinate_structure_constraint_object_extraction,blimp,accuracy/coordinate_structure_constraint_object_extraction,0.629
Model-1000,blimp/accuracy/determiner_noun_agreement_1,blimp,accuracy/determiner_noun_agreement_1,0.811
Model-1000,blimp/accuracy/determiner_noun_agreement_2,blimp,accuracy/determiner_noun_agreement_2,0.784
Model-1000,blimp/accuracy/determiner_noun_agreement_irregular_1,blimp,accuracy/determiner_noun_agreement_irregular_1,0.605
Model-1000,blimp/accuracy/determiner_noun_agreement_irregular_2,blimp,accuracy/determiner_noun_agreement_irregular_2,0.725
Model-1000,blimp/accuracy/determiner_noun_agreement_with_adj_2,blimp,accuracy/determiner_noun_agreement_with_adj_2,0.712
Model-1000,blimp/accuracy/determiner_noun_agreement_with_adj_irregular_1,blimp,accuracy/determiner_noun_agreement_with_adj_irregular_1,0.627
Model-1000,blimp/accuracy/determiner_noun_agreement_with_adj_irregular_2,blimp,accuracy/determiner_noun_agreement_with_adj_irregular_2,0.669
Model-1000,blimp/accuracy/determiner_noun_agreement_with_adjective_1,blimp,accuracy/determiner_noun_agreement_with_adjective_1,0.718
Model-1000,blimp/accuracy/distractor_agreement_relational_noun,blimp,accuracy/distractor_agreement_relational_noun,0.327
Model-1000,blimp/accuracy/distractor_agreement_relative_clause,blimp,accuracy/distractor_agreement_relative_clause,0.27
Model-1000,blimp/accuracy/drop_argument,blimp,accuracy/drop_argument,0.738
Model-1000,blimp/accuracy/ellipsis_n_bar_1,blimp,accuracy/ellipsis_n_bar_1,0.418
Model-1000,blimp/accuracy/ellipsis_n_bar_2,blimp,accuracy/ellipsis_n_bar_2,0.497
Model-1000,blimp/accuracy/existential_there_object_raising,blimp,accuracy/existential_there_object_raising,0.715
Model-1000,blimp/accuracy/existential_there_quantifiers_1,blimp,accuracy/existential_there_quantifiers_1,0.856
Model-1000,blimp/accuracy/existential_there_quantifiers_2,blimp,accuracy/existential_there_quantifiers_2,0.157
Model-1000,blimp/accuracy/existential_there_subject_raising,blimp,accuracy/existential_there_subject_raising,0.632
Model-1000,blimp/accuracy/expletive_it_object_raising,blimp,accuracy/expletive_it_object_raising,0.713
Model-1000,blimp/accuracy/group_average,blimp,accuracy/group_average,0.5898656716417912
Model-1000,blimp/accuracy/inchoative,blimp,accuracy/inchoative,0.35
Model-1000,blimp/accuracy/intransitive,blimp,accuracy/intransitive,0.538
Model-1000,blimp/accuracy/irregular_past_participle_adjectives,blimp,accuracy/irregular_past_participle_adjectives,0.619
Model-1000,blimp/accuracy/irregular_past_participle_verbs,blimp,accuracy/irregular_past_participle_verbs,0.598
Model-1000,blimp/accuracy/irregular_plural_subject_verb_agreement_1,blimp,accuracy/irregular_plural_subject_verb_agreement_1,0.592
Model-1000,blimp/accuracy/irregular_plural_subject_verb_agreement_2,blimp,accuracy/irregular_plural_subject_verb_agreement_2,0.678
Model-1000,blimp/accuracy/left_branch_island_echo_question,blimp,accuracy/left_branch_island_echo_question,0.588
Model-1000,blimp/accuracy/left_branch_island_simple_question,blimp,accuracy/left_branch_island_simple_question,0.313
Model-1000,blimp/accuracy/matrix_question_npi_licensor_present,blimp,accuracy/matrix_question_npi_licensor_present,0.049
Model-1000,blimp/accuracy/npi_present_1,blimp,accuracy/npi_present_1,0.289
Model-1000,blimp/accuracy/npi_present_2,blimp,accuracy/npi_present_2,0.375
Model-1000,blimp/accuracy/only_npi_licensor_present,blimp,accuracy/only_npi_licensor_present,0.449
Model-1000,blimp/accuracy/only_npi_scope,blimp,accuracy/only_npi_scope,0.638
Model-1000,blimp/accuracy/passive_1,blimp,accuracy/passive_1,0.681
Model-1000,blimp/accuracy/passive_2,blimp,accuracy/passive_2,0.674
Model-1000,blimp/accuracy/principle_A_c_command,blimp,accuracy/principle_A_c_command,0.566
Model-1000,blimp/accuracy/principle_A_case_1,blimp,accuracy/principle_A_case_1,1.0
Model-1000,blimp/accuracy/principle_A_case_2,blimp,accuracy/principle_A_case_2,0.699
Model-1000,blimp/accuracy/principle_A_domain_1,blimp,accuracy/principle_A_domain_1,0.936
Model-1000,blimp/accuracy/principle_A_domain_2,blimp,accuracy/principle_A_domain_2,0.6
Model-1000,blimp/accuracy/principle_A_domain_3,blimp,accuracy/principle_A_domain_3,0.472
Model-1000,blimp/accuracy/principle_A_reconstruction,blimp,accuracy/principle_A_reconstruction,0.432
Model-1000,blimp/accuracy/regular_plural_subject_verb_agreement_1,blimp,accuracy/regular_plural_subject_verb_agreement_1,0.653
Model-1000,blimp/accuracy/regular_plural_subject_verb_agreement_2,blimp,accuracy/regular_plural_subject_verb_agreement_2,0.638
Model-1000,blimp/accuracy/sentential_negation_npi_licensor_present,blimp,accuracy/sentential_negation_npi_licensor_present,0.979
Model-1000,blimp/accuracy/sentential_negation_npi_scope,blimp,accuracy/sentential_negation_npi_scope,0.391
Model-1000,blimp/accuracy/sentential_subject_island,blimp,accuracy/sentential_subject_island,0.305
Model-1000,blimp/accuracy/seq_average,blimp,accuracy/seq_average,0.589865671641791
Model-1000,blimp/accuracy/superlative_quantifiers_1,blimp,accuracy/superlative_quantifiers_1,0.657
Model-1000,blimp/accuracy/superlative_quantifiers_2,blimp,accuracy/superlative_quantifiers_2,0.721
Model-1000,blimp/accuracy/tough_vs_raising_1,blimp,accuracy/tough_vs_raising_1,0.42
Model-1000,blimp/accuracy/tough_vs_raising_2,blimp,accuracy/tough_vs_raising_2,0.643
Model-1000,blimp/accuracy/transitive,blimp,accuracy/transitive,0.667
Model-1000,blimp/accuracy/wh_island,blimp,accuracy/wh_island,0.66
Model-1000,blimp/accuracy/wh_questions_object_gap,blimp,accuracy/wh_questions_object_gap,0.716
Model-1000,blimp/accuracy/wh_questions_subject_gap,blimp,accuracy/wh_questions_subject_gap,0.908
Model-1000,blimp/accuracy/wh_questions_subject_gap_long_distance,blimp,accuracy/wh_questions_subject_gap_long_distance,0.979
Model-1000,blimp/accuracy/wh_vs_that_no_gap,blimp,accuracy/wh_vs_that_no_gap,0.989
Model-1000,blimp/accuracy/wh_vs_that_no_gap_long_distance,blimp,accuracy/wh_vs_that_no_gap_long_distance,0.997
Model-1000,blimp/accuracy/wh_vs_that_with_gap,blimp,accuracy/wh_vs_that_with_gap,0.029
Model-1000,blimp/accuracy/wh_vs_that_with_gap_long_distance,blimp,accuracy/wh_vs_that_with_gap_long_distance,0.005
Model-1000,cbt/accuracy/CN,cbt,accuracy/CN,0.3124
Model-1000,cbt/accuracy/NE,cbt,accuracy/NE,0.1594551282051282
Model-1000,cbt/accuracy/P,cbt,accuracy/P,0.6684
Model-1000,cbt/accuracy/V,cbt,accuracy/V,0.6384
Model-1000,cbt/accuracy/group_average,cbt,accuracy/group_average,0.4446637820512821
Model-1000,cbt/accuracy/seq_average,cbt,accuracy/seq_average,0.4447779111644658
Model-1000,commonsenseqa/accuracy/dev_rand_split,commonsenseqa,accuracy/dev_rand_split,0.20884520884520885
Model-1000,commonsenseqa/accuracy/group_average,commonsenseqa,accuracy/group_average,0.20884520884520885
Model-1000,commonsenseqa/accuracy/seq_average,commonsenseqa,accuracy/seq_average,0.20884520884520885
Model-1000,hellaswag/accuracy/group_average,hellaswag,accuracy/group_average,0.24507070304720174
Model-1000,hellaswag/accuracy/seq_average,hellaswag,accuracy/seq_average,0.24507070304720174
Model-1000,hellaswag/accuracy/val,hellaswag,accuracy/val,0.24507070304720174
Model-1000,lambada/accuracy/openai_last_token,lambada,accuracy/openai_last_token,0.28532608695652173
Model-1000,lambada/accuracy/total,lambada,accuracy/total,0.0021350931677018635
Model-1000,lambada/lm_loss,lambada,lm_loss,4.635684047279739
Model-1000,lambada/lm_perplexity,lambada,lm_perplexity,103.09841807221498
Model-1000,lambada/loss,lambada,loss,3.725820221515916
Model-1000,lambada/perplexity,lambada,perplexity,555.091017665137
Model-1000,lambada/time_since_best_accuracy,lambada,time_since_best_accuracy,0.0
Model-1000,lambada/time_since_best_loss,lambada,time_since_best_loss,0.0
Model-1000,mean_accuracy,mean_accuracy,mean_accuracy,0.12190940546281918
Model-1000,mean_loss,mean_loss,mean_loss,4.111151716970755
Model-1000,piqa/accuracy/group_average,piqa,accuracy/group_average,0.5217627856365615
Model-1000,piqa/accuracy/seq_average,piqa,accuracy/seq_average,0.5217627856365615
Model-1000,piqa/accuracy/val,piqa,accuracy/val,0.5217627856365615
Model-1000,race/accuracy/group_average,race,accuracy/group_average,0.23921906827777434
Model-1000,race/accuracy/seq_average,race,accuracy/seq_average,0.23733279286582895
Model-1000,race/accuracy/test/high,race,accuracy/test/high,0.23470554602630075
Model-1000,race/accuracy/test/middle,race,accuracy/test/middle,0.24373259052924792
Model-1000,siqa/accuracy/dev,siqa,accuracy/dev,0.34493346980552714
Model-1000,siqa/accuracy/group_average,siqa,accuracy/group_average,0.34493346980552714
Model-1000,siqa/accuracy/seq_average,siqa,accuracy/seq_average,0.34493346980552714
Model-1000,val/accuracy,val,accuracy,0.2416837177579365
Model-1000,val/loss,val,loss,4.496483212425595
Model-1000,val/perplexity,val,perplexity,89.70111617641223
Model-1000,val/time_since_best_accuracy,val,time_since_best_accuracy,0.0
Model-1000,val/time_since_best_loss,val,time_since_best_loss,0.0
